Config,Model,Layers (Base / Large),Base_Acc,Base_F1,Base_Spk_Acc,Base_Spk_Vote,Large_Acc,Large_F1,Large_Spk_Acc,Large_Spk_Vote
EN -> ZH,CLeaD,L9 / L18,0.4653299916457811,0.3073593073593073,0.5,"0/5 MDD, 5/5 HC",0.4841269841269841,0.1393728222996515,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,CLeaD w/o SupCon,L9 / L18,0.4720133667502088,0.3130434782608696,0.5,"0/5 MDD, 5/5 HC",0.4937343358395989,0.1500701262272089,0.5,"0/5 MDD, 5/5 HC"
ZH -> EN,LR,L9 / L18,0.536092715231788,0.3456328818309201,0.0,-,0.4913907284768212,0.428996282527881,0.0,-
ZH -> EN,SVM-Linear,L9 / L18,0.5478476821192053,0.3921655909192076,0.0,-,0.4935430463576158,0.4291845493562232,0.0,-
ZH -> EN,SVM-RBF,L9 / L18,0.5877483443708609,0.4358858178522882,0.0,-,0.5198675496688742,0.4035376388317565,0.0,-
ZH -> EN,GRU,L9 / L18,0.6956521739130435,0.0,0.6956521739130435,-,0.6956521739130435,0.2222222222222222,0.6956521739130435,-
ZH -> EN,CLeaD,L9 / L18,0.5730132450331126,0.4411700975081257,0.0,-,0.4947019867549669,0.4773972602739726,0.0,-
ZH -> EN,CLeaD w/o SupCon,L9 / L18,0.5382450331125828,0.4082325482707405,0.0,-,0.5359271523178808,0.5181364964758467,0.0,-
ZH -> ZH,LR,L9 / L18,0.5346700083542189,0.4740321057601511,0.8,"3/5 MDD, 5/5 HC",0.5066833751044277,0.4109725685785536,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,SVM-Linear,L9 / L18,0.52046783625731,0.4564393939393939,0.7,"2/5 MDD, 5/5 HC",0.4958228905597326,0.3888607594936709,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,SVM-RBF,L9 / L18,0.5162907268170426,0.4416586306653809,0.6,"2/5 MDD, 4/5 HC",0.4707602339181286,0.3499230374551051,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,GRU,L9 / L18,0.4,0.25,0.4,"1/5 MDD, 3/5 HC",0.4,0.25,0.4,"1/5 MDD, 3/5 HC"
ZH -> ZH,CLeaD,L9 / L18,0.5279866332497911,0.5244107744107744,0.8,"4/5 MDD, 4/5 HC",0.4649122807017544,0.350076103500761,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,CLeaD w/o SupCon,L9 / L18,0.5288220551378446,0.52,0.8,"4/5 MDD, 4/5 HC",0.4724310776942356,0.3793611793611793,0.7,"3/5 MDD, 4/5 HC"
MIX -> EN,LR,L9 / L18,0.644205298013245,0.548624238605335,0.0,-,0.6377483443708609,0.5184859154929577,0.0,-
MIX -> EN,SVM-Linear,L9 / L18,0.6658940397350993,0.5806317539484622,0.0,-,0.643046357615894,0.5395130286202477,0.0,-
MIX -> EN,SVM-RBF,L9 / L18,0.6612582781456954,0.5354223433242506,0.0,-,0.6672185430463576,0.4846153846153846,0.0,-
MIX -> EN,GRU,L9 / L18,0.4782608695652174,0.4,0.4782608695652174,-,0.2608695652173913,0.4137931034482758,0.2608695652173913,-
MIX -> EN,CLeaD,L9 / L18,0.6281456953642384,0.5326674989596338,0.0,-,0.6625827814569536,0.4503775620280474,0.0,-
MIX -> EN,CLeaD w/o SupCon,L9 / L18,0.6197019867549669,0.5671754286791031,0.0,-,0.6826158940397351,0.5284132841328413,0.0,-
MIX -> ZH,LR,L9 / L18,0.5,0.4591052869408043,0.6,"2/5 MDD, 4/5 HC",0.4532163742690058,0.3432012042147516,0.5,"1/5 MDD, 4/5 HC"
MIX -> ZH,SVM-Linear,L9 / L18,0.4870509607351712,0.4428312159709618,0.6,"2/5 MDD, 4/5 HC",0.4394319131161236,0.3256281407035176,0.5,"1/5 MDD, 4/5 HC"
MIX -> ZH,SVM-RBF,L9 / L18,0.4970760233918128,0.4320754716981132,0.6,"2/5 MDD, 4/5 HC",0.4615705931495405,0.2975476839237057,0.4,"0/5 MDD, 4/5 HC"
MIX -> ZH,GRU,L9 / L18,0.7,0.7272727272727273,0.7,"4/5 MDD, 3/5 HC",0.5,0.6666666666666666,0.5,"5/5 MDD, 0/5 HC"
MIX -> ZH,CLeaD,L9 / L18,0.5087719298245614,0.4545454545454545,0.6,"2/5 MDD, 4/5 HC",0.4887218045112781,0.3053348467650397,0.5,"0/5 MDD, 5/5 HC"
MIX -> ZH,CLeaD w/o SupCon,L9 / L18,0.518796992481203,0.5282555282555282,0.7,"4/5 MDD, 3/5 HC",0.4565580618212197,0.268690275435638,0.4,"0/5 MDD, 4/5 HC"
